iter	Passed	Remaining
0	192	192675
1	210	104962
2	225	74793
3	241	60066
4	257	51336
5	275	45677
6	293	41612
7	311	38569
8	328	36152
9	345	34226
10	362	32602
11	381	31385
12	399	30298
13	415	29277
14	433	28444
15	451	27747
16	467	27042
17	487	26609
18	505	26112
19	523	25671
20	541	25248
21	559	24880
22	576	24478
23	594	24168
24	611	23845
25	629	23586
26	647	23324
27	667	23181
28	688	23037
29	706	22832
30	723	22615
31	740	22399
32	758	22214
33	776	22048
34	793	21868
35	810	21695
36	825	21487
37	841	21310
38	857	21136
39	875	21013
40	892	20875
41	909	20745
42	926	20616
43	943	20490
44	960	20378
45	978	20299
46	996	20197
47	1013	20109
48	1032	20045
49	1051	19975
50	1069	19902
51	1088	19838
52	1106	19767
53	1124	19707
54	1144	19666
55	1162	19597
56	1180	19527
57	1198	19468
58	1216	19401
59	1235	19349
60	1252	19282
61	1271	19236
62	1290	19194
63	1307	19119
64	1326	19074
65	1343	19006
66	1360	18949
67	1380	18914
68	1400	18892
69	1417	18838
70	1435	18785
71	1456	18770
72	1475	18732
73	1493	18694
74	1511	18643
75	1529	18599
76	1547	18551
77	1564	18498
78	1582	18450
79	1600	18402
80	1619	18374
81	1637	18334
82	1656	18298
83	1680	18325
84	1698	18284
85	1716	18238
86	1733	18193
87	1750	18145
88	1767	18095
89	1789	18089
90	1807	18051
91	1825	18016
92	1845	18000
93	1863	17956
94	1883	17941
95	1902	17917
96	1922	17892
97	1940	17863
98	1960	17840
99	1978	17807
100	1995	17764
101	2014	17731
102	2032	17701
103	2052	17682
104	2069	17638
105	2089	17618
106	2107	17590
107	2127	17570
108	2144	17533
109	2162	17496
110	2179	17457
111	2196	17415
112	2214	17385
113	2232	17354
114	2251	17322
115	2269	17292
116	2287	17264
117	2305	17234
118	2324	17206
119	2340	17167
120	2359	17140
121	2377	17110
122	2395	17083
123	2418	17083
124	2437	17062
125	2455	17031
126	2473	17001
127	2491	16972
128	2509	16947
129	2527	16911
130	2544	16880
131	2562	16848
132	2579	16817
133	2597	16788
134	2616	16763
135	2635	16743
136	2653	16717
137	2671	16689
138	2693	16682
139	2712	16659
140	2730	16633
141	2750	16619
142	2771	16608
143	2789	16581
144	2807	16552
145	2825	16524
146	2843	16499
147	2860	16467
148	2879	16443
149	2899	16432
150	2918	16406
151	2937	16390
152	2956	16365
153	2974	16340
154	2992	16314
155	3011	16293
156	3030	16271
157	3052	16265
158	3073	16254
159	3096	16255
160	3119	16255
161	3141	16252
162	3165	16255
163	3188	16251
164	3213	16259
165	3232	16239
166	3251	16216
167	3269	16193
168	3288	16167
169	3307	16148
170	3324	16119
171	3344	16101
172	3364	16084
173	3384	16068
174	3403	16045
175	3422	16023
176	3440	15998
177	3459	15976
178	3479	15958
179	3497	15935
180	3516	15911
181	3536	15894
182	3557	15884
183	3577	15865
184	3595	15841
185	3613	15813
186	3631	15789
187	3651	15771
188	3668	15741
189	3684	15709
190	3701	15679
191	3724	15673
192	3742	15650
193	3761	15629
194	3780	15605
195	3800	15588
196	3817	15561
197	3836	15539
198	3856	15520
199	3874	15497
200	3895	15484
201	3916	15470
202	3934	15445
203	3951	15417
204	3971	15402
205	3989	15376
206	4008	15357
207	4027	15333
208	4044	15307
209	4062	15284
210	4080	15256
211	4097	15231
212	4116	15210
213	4134	15186
214	4154	15168
215	4172	15144
216	4191	15123
217	4208	15098
218	4226	15073
219	4244	15047
220	4260	15019
221	4280	15002
222	4298	14977
223	4316	14953
224	4335	14935
225	4356	14918
226	4374	14897
227	4394	14879
228	4415	14865
229	4437	14856
230	4467	14873
231	4500	14897
232	4523	14890
233	4550	14896
234	4572	14884
235	4600	14892
236	4637	14929
237	4665	14937
238	4687	14923
239	4712	14921
240	4735	14914
241	4762	14916
242	4784	14906
243	4808	14899
244	4831	14889
245	4852	14873
246	4882	14883
247	4906	14878
248	4933	14881
249	4957	14872
250	4974	14844
251	4993	14820
252	5011	14795
253	5029	14772
254	5048	14750
255	5067	14727
256	5085	14701
257	5104	14681
258	5125	14664
259	5143	14640
260	5163	14620
261	5181	14596
262	5200	14573
263	5217	14545
264	5235	14520
265	5255	14502
266	5274	14479
267	5293	14458
268	5314	14443
269	5333	14420
270	5352	14397
271	5369	14370
272	5387	14347
273	5406	14324
274	5424	14301
275	5443	14280
276	5461	14256
277	5480	14233
278	5497	14207
279	5517	14187
280	5536	14165
281	5555	14145
282	5574	14122
283	5593	14102
284	5613	14084
285	5633	14063
286	5651	14041
287	5672	14024
288	5691	14002
289	5710	13980
290	5730	13961
291	5752	13948
292	5771	13926
293	5790	13905
294	5809	13882
295	5829	13865
296	5850	13848
297	5867	13822
298	5885	13798
299	5903	13774
300	5920	13748
301	5939	13727
302	5956	13702
303	5975	13680
304	5993	13656
305	6010	13631
306	6026	13604
307	6045	13582
308	6059	13551
309	6076	13526
310	6093	13499
311	6111	13476
312	6131	13457
313	6148	13433
314	6166	13409
315	6184	13386
316	6202	13363
317	6221	13342
318	6239	13319
319	6257	13297
320	6275	13275
321	6293	13251
322	6312	13231
323	6331	13209
324	6349	13188
325	6368	13167
326	6386	13145
327	6404	13121
328	6421	13096
329	6438	13072
330	6456	13049
331	6473	13025
332	6491	13003
333	6509	12980
334	6526	12956
335	6544	12932
336	6564	12913
337	6582	12891
338	6600	12869
339	6618	12848
340	6636	12825
341	6653	12802
342	6670	12776
343	6688	12754
344	6708	12736
345	6726	12714
346	6749	12702
347	6768	12680
348	6786	12659
349	6805	12638
350	6823	12617
351	6842	12596
352	6860	12574
353	6879	12553
354	6897	12531
355	6914	12508
356	6934	12490
357	6953	12470
358	6974	12452
359	6991	12429
360	7009	12407
361	7027	12385
362	7045	12363
363	7063	12341
364	7081	12319
365	7101	12300
366	7121	12282
367	7144	12270
368	7162	12248
369	7183	12230
370	7200	12207
371	7217	12183
372	7234	12161
373	7258	12148
374	7275	12126
375	7292	12102
376	7311	12082
377	7327	12057
378	7345	12035
379	7364	12015
380	7382	11994
381	7400	11973
382	7418	11951
383	7437	11931
384	7457	11912
385	7476	11893
386	7495	11873
387	7510	11847
388	7528	11825
389	7549	11807
390	7568	11787
391	7591	11774
392	7609	11753
393	7628	11733
394	7645	11710
395	7663	11688
396	7681	11667
397	7699	11646
398	7720	11628
399	7739	11608
400	7759	11590
401	7779	11572
402	7796	11550
403	7814	11527
404	7835	11510
405	7855	11493
406	7876	11475
407	7908	11475
408	7940	11473
409	7967	11465
410	7991	11453
411	8019	11445
412	8046	11436
413	8070	11423
414	8093	11408
415	8114	11390
416	8135	11373
417	8152	11351
418	8177	11339
419	8199	11323
420	8227	11315
421	8248	11297
422	8271	11282
423	8378	11381
424	8410	11378
425	8430	11359
426	8448	11337
427	8466	11315
428	8486	11294
429	8504	11273
430	8525	11255
431	8546	11237
432	8566	11217
433	8584	11196
434	8605	11176
435	8624	11156
436	8643	11135
437	8662	11115
438	8681	11093
439	8698	11070
440	8715	11048
441	8733	11025
442	8751	11002
443	8775	10989
444	8797	10972
445	8817	10952
446	8835	10931
447	8855	10911
448	8875	10892
449	8894	10871
450	8914	10851
451	8933	10830
452	8948	10805
453	8966	10783
454	8987	10765
455	9006	10744
456	9025	10724
457	9043	10702
458	9062	10680
459	9082	10662
460	9100	10640
461	9120	10621
462	9140	10601
463	9159	10580
464	9177	10558
465	9198	10540
466	9214	10516
467	9232	10495
468	9252	10475
469	9270	10454
470	9287	10430
471	9307	10412
472	9325	10390
473	9344	10369
474	9365	10351
475	9389	10336
476	9425	10334
477	9449	10319
478	9472	10303
479	9490	10281
480	9513	10264
481	9534	10246
482	9558	10230
483	9579	10212
484	9603	10197
485	9630	10184
486	9657	10172
487	9680	10156
488	9703	10140
489	9727	10124
490	9751	10108
491	9774	10092
492	9804	10082
493	9835	10074
494	9856	10056
495	9879	10038
496	9900	10020
497	9920	9999
498	9945	9985
499	9970	9970
500	9997	9958
501	10016	9937
502	10033	9913
503	10051	9891
504	10068	9869
505	10086	9847
506	10105	9826
507	10122	9803
508	10138	9780
509	10157	9759
510	10177	9738
511	10195	9717
512	10214	9696
513	10231	9674
514	10249	9652
515	10268	9631
516	10288	9611
517	10306	9590
518	10325	9569
519	10343	9547
520	10360	9525
521	10379	9504
522	10397	9482
523	10415	9461
524	10436	9442
525	10453	9419
526	10471	9398
527	10488	9376
528	10506	9354
529	10524	9333
530	10545	9313
531	10563	9293
532	10582	9271
533	10599	9249
534	10616	9227
535	10633	9205
536	10650	9183
537	10669	9162
538	10690	9143
539	10708	9122
540	10727	9101
541	10745	9080
542	10762	9058
543	10781	9037
544	10798	9015
545	10821	8997
546	10839	8977
547	10857	8955
548	10875	8933
549	10893	8912
550	10911	8891
551	10930	8871
552	10948	8850
553	10966	8828
554	10981	8805
555	11001	8785
556	11020	8765
557	11039	8744
558	11057	8723
559	11075	8702
560	11093	8681
561	11112	8660
562	11130	8639
563	11147	8617
564	11166	8597
565	11186	8577
566	11204	8556
567	11221	8534
568	11242	8515
569	11259	8494
570	11280	8474
571	11298	8454
572	11316	8433
573	11336	8413
574	11355	8393
575	11373	8372
576	11394	8353
577	11415	8334
578	11435	8315
579	11455	8295
580	11473	8274
581	11491	8253
582	11512	8234
583	11537	8218
584	11557	8198
585	11576	8178
586	11595	8158
587	11613	8137
588	11631	8116
589	11650	8096
590	11668	8074
591	11686	8054
592	11705	8033
593	11722	8012
594	11742	7992
595	11760	7971
596	11780	7952
597	11798	7931
598	11818	7911
599	11843	7895
600	11861	7874
601	11879	7853
602	11897	7833
603	11915	7812
604	11933	7791
605	11951	7770
606	11969	7749
607	11986	7728
608	12006	7708
609	12025	7688
610	12043	7667
611	12063	7648
612	12080	7626
613	12099	7606
614	12117	7586
615	12137	7565
616	12156	7546
617	12174	7525
618	12194	7505
619	12212	7484
620	12229	7463
621	12248	7443
622	12265	7422
623	12284	7402
624	12304	7382
625	12321	7361
626	12339	7340
627	12357	7320
628	12374	7299
629	12392	7278
630	12410	7257
631	12427	7236
632	12445	7215
633	12463	7194
634	12481	7174
635	12499	7153
636	12516	7132
637	12534	7111
638	12552	7091
639	12571	7071
640	12590	7051
641	12608	7030
642	12625	7010
643	12643	6989
644	12662	6969
645	12681	6949
646	12697	6927
647	12715	6907
648	12734	6887
649	12751	6866
650	12771	6846
651	12789	6826
652	12808	6806
653	12825	6785
654	12850	6768
655	12870	6749
656	12887	6728
657	12905	6707
658	12923	6687
659	12942	6667
660	12959	6646
661	12979	6627
662	12997	6606
663	13017	6586
664	13036	6567
665	13057	6548
666	13075	6527
667	13092	6507
668	13109	6486
669	13129	6466
670	13152	6448
671	13173	6429
672	13197	6412
673	13220	6394
674	13244	6376
675	13268	6359
676	13290	6341
677	13313	6322
678	13333	6303
679	13351	6282
680	13369	6262
681	13385	6241
682	13402	6220
683	13419	6199
684	13438	6179
685	13457	6160
686	13476	6139
687	13494	6119
688	13511	6098
689	13531	6079
690	13550	6059
691	13568	6039
692	13586	6018
693	13604	5998
694	13622	5978
695	13641	5958
696	13659	5938
697	13678	5918
698	13696	5897
699	13713	5877
700	13733	5857
701	13750	5837
702	13767	5816
703	13784	5795
704	13802	5775
705	13819	5754
706	13838	5735
707	13857	5715
708	13882	5697
709	13900	5677
710	13917	5656
711	13934	5636
712	13955	5617
713	13974	5597
714	13992	5577
715	14009	5557
716	14028	5537
717	14045	5516
718	14062	5495
719	14079	5475
720	14096	5454
721	14114	5434
722	14132	5414
723	14150	5394
724	14169	5374
725	14184	5353
726	14203	5333
727	14222	5314
728	14241	5293
729	14261	5274
730	14278	5254
731	14297	5234
732	14314	5214
733	14331	5193
734	14352	5174
735	14373	5155
736	14392	5135
737	14411	5116
738	14432	5097
739	14452	5077
740	14472	5058
741	14491	5038
742	14515	5020
743	14534	5001
744	14555	4981
745	14574	4962
746	14591	4941
747	14609	4922
748	14627	4901
749	14646	4882
750	14664	4862
751	14681	4841
752	14699	4821
753	14717	4801
754	14736	4782
755	14755	4762
756	14772	4742
757	14789	4721
758	14807	4701
759	14825	4681
760	14842	4661
761	14859	4641
762	14876	4620
763	14896	4601
764	14918	4582
765	14947	4566
766	14983	4551
767	15010	4534
768	15034	4516
769	15064	4499
770	15091	4482
771	15118	4464
772	15141	4446
773	15162	4427
774	15184	4408
775	15207	4389
776	15230	4371
777	15252	4352
778	15275	4333
779	15297	4314
780	15324	4297
781	15351	4279
782	15379	4262
783	15409	4245
784	15443	4229
785	15497	4219
786	15542	4206
787	15569	4188
788	15591	4169
789	15612	4150
790	15633	4130
791	15663	4113
792	15688	4095
793	15713	4076
794	15739	4058
795	15765	4040
796	15793	4022
797	15821	4005
798	15846	3986
799	15873	3968
800	15907	3952
801	15939	3935
802	15969	3917
803	15990	3898
804	16014	3879
805	16038	3860
806	16060	3841
807	16082	3821
808	16101	3801
809	16119	3781
810	16139	3761
811	16158	3741
812	16176	3720
813	16195	3700
814	16213	3680
815	16233	3660
816	16252	3640
817	16270	3620
818	16288	3599
819	16307	3579
820	16324	3559
821	16341	3538
822	16359	3518
823	16378	3498
824	16396	3477
825	16412	3457
826	16429	3436
827	16449	3417
828	16470	3397
829	16488	3377
830	16507	3357
831	16524	3336
832	16541	3316
833	16559	3295
834	16577	3275
835	16595	3255
836	16614	3235
837	16632	3215
838	16650	3195
839	16668	3174
840	16686	3154
841	16704	3134
842	16721	3114
843	16738	3093
844	16756	3073
845	16775	3053
846	16794	3033
847	16812	3013
848	16829	2993
849	16848	2973
850	16867	2953
851	16884	2933
852	16902	2912
853	16923	2893
854	16944	2873
855	16964	2853
856	16982	2833
857	17000	2813
858	17017	2793
859	17036	2773
860	17054	2753
861	17071	2733
862	17092	2713
863	17112	2693
864	17133	2674
865	17155	2654
866	17173	2634
867	17191	2614
868	17210	2594
869	17229	2574
870	17245	2554
871	17263	2534
872	17281	2514
873	17297	2493
874	17316	2473
875	17332	2453
876	17350	2433
877	17368	2413
878	17388	2393
879	17409	2373
880	17427	2354
881	17445	2334
882	17463	2313
883	17480	2293
884	17501	2274
885	17519	2254
886	17538	2234
887	17555	2214
888	17574	2194
889	17593	2174
890	17611	2154
891	17629	2134
892	17647	2114
893	17664	2094
894	17683	2074
895	17702	2054
896	17720	2034
897	17738	2014
898	17756	1994
899	17773	1974
900	17793	1955
901	17810	1935
902	17827	1915
903	17845	1895
904	17862	1875
905	17880	1855
906	17900	1835
907	17919	1815
908	17937	1795
909	17962	1776
910	17980	1756
911	17999	1736
912	18018	1717
913	18037	1697
914	18057	1677
915	18076	1657
916	18097	1638
917	18115	1618
918	18133	1598
919	18153	1578
920	18171	1558
921	18190	1538
922	18210	1519
923	18229	1499
924	18248	1479
925	18265	1459
926	18283	1439
927	18300	1419
928	18318	1399
929	18338	1380
930	18356	1360
931	18377	1340
932	18397	1321
933	18417	1301
934	18438	1281
935	18457	1262
936	18476	1242
937	18497	1222
938	18518	1203
939	18540	1183
940	18567	1164
941	18589	1144
942	18612	1125
943	18633	1105
944	18657	1085
945	18681	1066
946	18701	1046
947	18722	1026
948	18744	1007
949	18765	987
950	18784	967
951	18804	948
952	18826	928
953	18849	908
954	18872	889
955	18892	869
956	18911	849
957	18931	829
958	18952	810
959	18977	790
960	18995	770
961	19015	751
962	19032	731
963	19051	711
964	19071	691
965	19090	671
966	19109	652
967	19128	632
